Category,Name,Description,File Name,image url
clothing,Adidas Jacket CW6702,"This golf jacket is built with wind-resistant protection and seam-sealed details to shield you from the drizzle. Featuring elastic bindings on the sleeves and hem for a comfortable fit, it's made of four-way stretch fabric for an unrestricted range of motion through your swing. The full zip and hood let you adjust the coverage as conditions change.",Adidas Jacket CW6702.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/c06bdc2f9e5644a987b7a8d9015ef1e7_9366/Climastorm_Jacket_Black_CW6702_21_model.jpg"
clothing,Adidas Longsleeve FI9500,Sunshine and open fairways go hand in hand. Move from shot to shot in dry comfort in the this adidas golf shirt. Play through without worrying about your time in the sun.,Adidas Longsleeve FI9500.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/23f6d48360df418e888aaad001573391_9366/UV_Long_Sleeve_Base_Layer_Black_FI9500_21_model.jpg"
clothing,Adidas Longsleeve FP9741,Enjoy climate-controlled comfort on the green. Stay warm through windy rounds in this adidas golf polo shirt. It extends your comfort through crisp morning tee times and gusty afternoon holes.,Adidas Longsleeve FP9741.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/9a90036eb4dc42f0ba6aaaf5016eaa91_9366/Solid_UV_Long_Sleeve_Polo_Shirt_Black_FP9741_21_model.jpg"
clothing,Adidas Pants DQ2136,"These women's golf pants offer a sleek approach to a traditional on-course look. Cut for a snug fit, the pants are made of soft stretch fabric for comfort and flexibility all through your round. Front and back pockets let you keep extra tees and balls nearby.",Adidas Pants DQ2136.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/811b4cd545a0478a8ef6a953011a044e_9366/Ultimate_Club_Full_Length_Pants_Black_DQ2136_21_model.jpg"
clothing,Adidas Pants FJ4875,"New for 2019!!!!  Tee up in style. The Adidas Womens Ultimate Printed Ankle Pants show off a sleek look for a day on the links. Flashing an allover print, they're made of a lightly stretchy fabric for free and smooth movement on every swing. A knit waistband offers a form-hugging fit for all-day comfort.

Regular fit strikes a comfortable balance between loose and snug
Mid rise
Knit waist; Front and back pockets
Screenprinted graphics on front and back; PFC-free water-repellent finish
These pants are made with recycled polyester to save resources and decrease emissions
Fabric: 90% Recycled Polyester / 10% Elastane Twill",Adidas Pants FJ4875.jpg,https://cdn.shopify.com/s/files/1/0770/0211/products/Printed_Pull_On_Ankle_Pants_Black_FJ4875_01_laydown_1024x1024.jpg?v=1586451072
clothing,Adidas Polo FJ9824/5,A smooth knit blend offers a full range of motion.,Adidas Polo FJ9824.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/4fb5c3b4bdbd4a18887faaa800137a6b_9366/Ultimate365_Badge_of_Sport_Polo_Shirt_White_FJ9824_21_model.jpg"
clothing,Adidas Polo FJ9830,"You pick the day. The adidas Ultimate365 golf polo tee offers dependable comfort and full mobility on the course. Enjoy a dry, breathable feel no matter the weather. Drive, approach or putt, each shot comes easily.",Adidas Polo FJ9830.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/c93e2eeaa8e3438192a2aad501705e89_9366/Ultimate365_Engineered_Heathered_Polo_Shirt_White_FJ9830_21_model.jpg"
clothing,Adidas Polo FJ9926,"Keep your eye on the leaderboard. The hot sun is no match for this adidas golf polo shirt. Its lightweight, breathable build helps you keep your focus through the heat of the day. Feel cool, dry and composed as you shave strokes and sink putts.",Adidas Polo FJ9926.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/45275f89bdd843eea745aad1014da21c_9366/Sport_AEROREADY_Polo_Shirt_Black_FJ9926_21_model.jpg"
clothing,Adidas Polo FJ9950/1,"Mens Adidas Golf Ultimate365 Heather Stripe Polo Shirt. A technical golf shirt with 3 button placket and self fabric collar. Constructed in Ultimate365 material, a balanced weight fabric for year round comfort and performance. This fabric also offers UPF 50+ protection, utilises four way stretch for enhanced range of motion, a hydrophillic finish to draw moisture away from the body where it can dry quickly. Finished with contrast stripe design and contrast adidas Badge of Sport logo to the left chest. 88% Polyester, 12% Elastane - Regular fit",Adidas Polo FJ9950.jpg,https://www.function18.com/media/catalog/product/cache/1/image/940x/9df78eab33525d08d6e5fb8d27136e95/a/d/adidas_golf_ultimate365_heather_stripe_shirt_fj9950_1.jpg
clothing,Adidas Provisional Jacket,This golf jacket is built with wind-resistant protection and seam-sealed details to help keep out the elements. This long sleeve style features a quarter zip with a stand-up collar for adjustable coverage throughout your round. Blocks of color give it an eye-catching look.,Adidas Provisional Jacket.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/e2d422b78a0a4fa7ba8da8da000fb6d4_9366/Climastorm_Provisional_Jacket_Black_CY7443_21_model.jpg"
clothing,Adidas Shortsleeve FJ4917,"Play your round in style with the adidas Women’s Ultimate365 Printed Short Sleeve Golf Polo. It features soft, stretchy fabric that offers a full range of motion and UV protection technology to guard against the sun’s harmful rays. A low, stand-up collar and graphic sleeves add a touch of modern flair to the polo.

TECHNOLOGY:
UPF 50+ sun protection against harmful UV rays
DESIGN DETAILS:
Soft, stretchy fabric for increased comfort and mobility
Low, stand-up collar offers added protection
Graphic design on sleeves for added style
Half-zip placket allows for easy adjustability
Curved hem provides unique look
Short sleeve silhouette for added coverage
Made with recycled polyester to save resources and decrease emissions
Brand : adidas
Country of Origin : Imported
Style : FJ4917
Fabric : 88% Recycled Polyester / 12% Elastane Single Jersey
Web ID: 19ADIWSSLTPRNTDPLAPT",Adidas Shortsleeve FJ4917.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19ADIWSSLTPRNTDPLAPT_Black?qlt=70&wid=1100&fmt=webp
clothing,Adidas Shortsleeve FK0630,Show out on the hardwood. Keep defenders on their heels for four quarters in this adidas basketball hoodie. Work on every part of your game from early in the morning to late at night without any distractions.,Adidas Shortsleeve FK0630.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/db8825ae9a1e46f9b8c4aacc00290465_9366/Sport_Hoodie_Black_FH7948_21_model.jpg"
clothing,Adidas Shortsleeve FS4738/FI9522,"Play through an uncertain forecast. The adidas Gradient Polo Shirt resists wind and light rain, so you can work on your short game whether the sun shines or the fog rolls in.",Adidas Shortsleeve FS4738FI9522.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/c20a084f17084c8f80c0aad500f87cff_9366/Gradient_Polo_Shirt_Orange_FS4738_21_model.jpg"
clothing,Adidas Skort FI9508,"The adidas Ultimate Bermuda Golf Short offer a sleek approach to and from the clubhouse. Built with a wide waistband, they're made of lightweight stretch fabric for flexibility and easy movement so you can walk the links in comfort. The Bermuda length gives them a casual feel for all-day wear.",Adidas Skort FI9508.jpg,https://cdn11.bigcommerce.com/s-3dr16m1o4e/images/stencil/1280x1280/products/30360/100765/FI9508__83012.1583438347.jpg?c=2&imbypass=on
clothing,Adidas Skort FJ4892,"The women's Adidas Golf Perforated skort helps keep you feeling fresh and focused on your swing. From tee off to the clubhouse, the adidas Ultimate365 skort supports your game with compression-fit tights and a soft, stretchy feel. Walk, swing and play through in easy-moving comfort on warm summer days.",Adidas Skort FJ4892.jpg,https://cdn.shopify.com/s/files/1/0770/0211/products/Ultimate365_Printed_Knit_Skort_Black_FJ4892_01_laydown_1024x1024.jpg?v=1586454592
clothing,Adidas Skort FJ4893,"Unique style for the course. This adidas golf skort cuts a clean, modern look for a day at the club. Inner shorts and plenty of stretch let you move and bend naturally as you walk from shot to shot.",Adidas Skort FJ4893.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/a2f795745a5349998b85aaea012072f6_9366/Jacquard_Cinch_Skort_Green_FJ4893_21_model.jpg"
clothing,Adidas Sleeveless FJ4887,"Pull on distraction-free comfort for your next round. This Adidas polo shirt cuts a sleeveless silhouette and keeps you cool and dry during warm, sunny days on the green. Soft and full of stretch, it matches your every move for a natural range of motion as you follow through on every swing.",Adidas Sleeveless FJ4887.jpg,https://cdn.shopify.com/s/files/1/0770/0211/products/Engineered_Stripe_Sleeveless_Polo_Shirt_White_FJ4887_01_laydown_1024x1024.jpg?v=1586530607
clothing,Adidas Sleeveless FJ4905,"Keep it in the fairway. The Adidas Ultimate365 polo shirt supports a smooth, powerful swing with a sleeveless cut and flexible feel. Stay dry and comfortable from opening tee off to final putt.",Adidas Sleeveless FJ4905.jpg,https://cdn.shopify.com/s/files/1/0770/0211/products/Ultimate365_Printed_Sleeveless_Polo_Shirt_Black_FJ4905_01_laydown_1024x1024.jpg?v=1586530608
clothing,Adidas Sleeveless FK0627,Features/Benefits: Step into the tee box in style. This adidas golf polo shirt offers built-in UV coverage so you can play sunny rounds without distraction. Move freely through your swing in soft comfort.,Adidas Sleeveless FK0627.jpg,https://s3.distributorcentral.com/uploads/9/F/9F0DC311C60E791165EDF0A1CC7A1AC5.jpg
clothing,Adidas Sleeveless FP6802,"Pull on distraction-free comfort for your next round. This adidas polo shirt cuts a sleeveless silhouette and keeps you cool and dry during warm, sunny days on the green. Soft and full of stretch, it matches your every move for a natural range of motion as you follow through on every swing.",Adidas Sleeveless FP6802.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/4b64be652c6b4cfeb299aadc016562ab_9366/Engineered_Stripe_Sleeveless_Polo_Shirt_Black_FP6802_21_model.jpg"
clothing,Adidas Sweater,"This men's hoodie is made of a soft cotton blend to keep you comfortable. The full zip allows for easy on and off, while the ribbed cuffs and hem keep the fit snug. It features signature 3-Stripes on the arms.",Adidas Sweater.jpg,https://images-na.ssl-images-amazon.com/images/I/81PEHmLadGL._AC_UX569_.jpg
clothing,Adidas Tour360 XT Shoes,"Take a tip from the pros and lace up the adidas Men’s TOUR360 XT Golf Shoes this season. Premium leather uppers feature climaproof® protection and 360WRAP technology for unmatched support and cushioning. Full-length BOOST™ midsole foam pairs with TORSION TUNNEL elements to maximize support and energy transfer while the X-Traction outsole provides tour caliber stability and traction.

PREMIUM LEATHER UPPER WITH CLIMAPROOF® TECHNOLOGY
Provides a clean look, soft, comfortable feel, and long lasting protection and durability
360WRAP TECHNOLOGY
Features lighter, more flexible saddle material for midfoot support
FULL-LENGTH BOOST™ FOAM MIDSOLE
Energized cushioning for lasting comfort throughout your round
X-TRACTION OUTSOLE
Tour caliber 8-cleat design provides improved stability and traction on any terrain
TORSION TUNNEL
Provides independent flexibility and control between the heel and forefoot while providing enhanced arch support and improved green friendliness
NEW TOUR PERFORMANCE LAST
Provides a more ergonomic, athletic fit
NEW INSITE SOCKLINER
Provides improved comfort and balance
LIGHTER DESIGN
10% lighter than the TOUR360 2.0
MANUFACTURER’S WARRANTY
2-Year Waterproof
90-Day Comfort
Brand : adidas
Style : BB7921, BB7922, BB7923, BB7925, BD7123
DSG Pro Tips
Web ID: 18ADIMTR360XTBLCKGSH",Adidas Tour360 XT Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/18ADIMTR360XTBLCKGSH_Black_White?qlt=70&wid=1100&fmt=webp
clothing,Adidas Tour360 XT-SL Shoes,"Boost is our most responsive cushioning ever: The more energy you give, the more you get",Adidas Tour360 XT-SL Shoes.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/16e09a11acc04dfa969da9b0011f1582_9366/Tour360_XT_SL_Shoes_White_BB7915_01_standard.jpg"
clothing,Adidas W Adicross Retro Shoes,Move from the links to the clubhouse in style despite the brisk weather. Keep your feet dry and comfortable in these adidas golf shoes that resist the wind and wet despite the drizzly conditions. Take them out on the fairways or the street in cushioned comfort.,Adidas W Adicross Retro Shoes.jpg,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/59c71375eac64c96a576aab10104f6c8_9366/Adicross_Retro_Golf_Shoes_White_EE9164_01_standard.jpg"
clothing,Adidas W Response Shoes,"Spruce up your on-course look with the adidas Women’s Response Bounce Golf Shoes. With a power-transferring Bounce midsole for enhanced stability and a cloudfoam insole for all-day comfort, 36 holes in a day is never out of the question.

Microfiber Leather Upper w/ climastorm Protection
Provides water-resistant durability and performance
Full-Length Bounce™ Foam Midsole
Engineered specifically for golf performance with dramatic grooves for enhanced cushioning, comfort and stability
cloudfoam Insole
Provides everlasting cushioning, support and comfort
thintech® Outsole
Features a 6 spike construction with adiwear™ for long-lasting abrasion resistance and traction
Low Profile thintech® EXP Cleat
Offers improved stability, traction, durability and green friendliness
Manufacturer’s Warranty
1-Year Waterproof
90-Day Comfort
Brand : adidas
Country of Origin : Imported
Web ID: 18ADIWWRSPNSBNCWHGSH",Adidas W Response Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/18ADIWWRSPNSBNCWHGSH_Black_White?wid=1400&fmt=jpg
clothing,Dexim Sleeveless 20104/202/203,"Crafted from lightweight, quick-dry fabric in a breathable sleeveless design, the Lady Hagen Women's Solid Sleeveless Golf Polo will keep you cool and comfortable through hot, humid rounds and long summer weekends. Its moisture-wicking fabric draws sweat away from your body to the fabric's surface where it easily evaporates. For a classic finish, the durable polyester is finely textured and features a tailored, unrestricting fit.

Technology
Hydro-Dri™ technology wicks moisture away from the skin's surface to keep you dry and comfortable
Design Details
Textured fabric for added style
Self-fabric collar with open v-neck
Curved hemline for extended coverage
Traditionally tailored fit with ease through the shoulders, waist and hip allows for a full range of motion
Brand : Lady Hagen
Fabric : 100% Polyester
Web ID: 18LHAWSLDSLVSCRPLAPT",Dexim Sleeveless.jpg,https://dks.scene7.com/is/image/GolfGalaxy/18LHAWSLDSLVSCRPLAPT_Coral_Splash?wid=1400&fmt=jpg
clothing,New Balance Fresh Foam Links Pro Shoes,"Features & Benefits:
Waterproof microfiber leather / performance mesh upper with TPU eyestay
Exoskeleton TPU outsole designed to move with the natural motion of your foot
10mm drop* Fresh Foam innovative midsole provides ultra-cush, cloud-like feel
Molded CUSH+ insole for superior comfort
Bootie construction for an enhanced fit
FastTwist 3.0 removable Pulsar cleats*",New Balance Fresh Foam Links Pro Shoes.jpg,https://images-na.ssl-images-amazon.com/images/I/71lFtSsKN8L._AC_UY695_.jpg
clothing,New Balance Fresh Foam Links SL Shoes,"Roll your putts with confidence in the New Balance Men’s Fresh Foam LinksSL Golf Shoes. Featuring a smart rubber spikeless outsole, a Fresh Foam midsole for unmatched comfort, and a waterproof microfiber leather upper for protection in all weather conditions, the LinksSL have everything you need in a high-performance golf shoe.

Design
Waterproof Microfiber Leather and Performance Mesh Upper
Provides a classic style with modern performance and features a welded forefoot water-guard for added protection
10mm Fresh Foam Midsole
Provides an ultra-cush, cloud-like feel for maximum comfort on every step
Smart Rubber Spikeless Outsole
Provides maximum stability and traction on all terrains and features pressure mapping colors to highlight key performance zones
Molded CUSH+ Insole
Provides superior comfort throughout your round
Bootie Construction
Provides an enhanced, snug fit
Manufacturer’s Warranty
2-Year Waterproof
Brand : New Balance
Web ID: 19NWBMFRSHFMLNKSSGSH",New Balance Fresh Foam Links SL Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19NWBMFRSHFMLNKSSGSH_Grey?wid=1400&fmt=jpg
clothing,New Balance W Fresh Foam Links SL Shoes,"Roll your putts with confidence in the New Balance Men’s Fresh Foam LinksSL Golf Shoes. Featuring a smart rubber spikeless outsole, a Fresh Foam midsole for unmatched comfort, and a waterproof microfiber leather upper for protection in all weather conditions, the LinksSL have everything you need in a high-performance golf shoe.

Design
Waterproof Microfiber Leather and Performance Mesh Upper
Provides a classic style with modern performance and features a welded forefoot water-guard for added protection
10mm Fresh Foam Midsole
Provides an ultra-cush, cloud-like feel for maximum comfort on every step
Smart Rubber Spikeless Outsole
Provides maximum stability and traction on all terrains and features pressure mapping colors to highlight key performance zones
Molded CUSH+ Insole
Provides superior comfort throughout your round
Bootie Construction
Provides an enhanced, snug fit
Manufacturer’s Warranty
2-Year Waterproof
Brand : New Balance
Web ID: 19NWBMFRSHFMLNKSSGSH",New Balance W Fresh Foam Links SL Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19NWBMFRSHFMLNKSSGSH_Grey?wid=1400&fmt=jpg
clothing,New Balance W Minimus SL Shoes,"Bring some running shoe comfort to the golf course with the New Balance Minimus SL Golf Shoes. Built with a lightweight, waterproof FantomFit upper, these spikeless shoes offer the perfect combination of comfort, protection and support for your game. The REVlite® midsole and Ortholite® insole both also provide you underfoot cushioning and better stability.

Design
Engineered to bring running technology to golf for a more natural fit and feel through your swing
Lightweight microfiber leather upper maximizes comfort and air circulation during play
Upper features waterproof treatment for protection during poor weather conditions
Skeletally-engineered FantomFit upper fuses two thing materials using no-sew process for support and fit
Ortholite® insole further enhances air circulation to equip golfers with cool, dry comfort that lasts
REVlite® 4 mm drop midsole creates lightweight, responsive ride, underfoot cushioning and stability
NDurance® spikeless rubber outsole utilizes a durable compound in high-wear areas for reliability
Manufacturer's Warranty
2-year waterproof warranty
90-day comfort guarantee
Brand : New Balance
Country of Origin : Imported
Web ID: 17NWBMMNMSSLBLCKRGSH
SKU: 19689311",New Balance W Minimus SL Shoes.jpg,https://dks.scene7.com/is/image/GolfGalaxy/17NWBMMNMSSLBLCKRGSH_White_Maroon?wid=1400&fmt=jpg
clothing,Ping Harrison Polo,"Whether you are attending a work meeting or preparing to tee off at the course, the PING Men’s Harrison Solid Short Sleeve Golf Polo is the perfect go-to style. The 3-button placket, shaped yoke seams and self-collar provide a classic look that will leave you feeling confident all day long. Featuring Sensor Cool® fabric, this polo was built to wick away moisture, protect against UV rays and prevent creasing.

Technology
Sensor Cool® fabric wicks moisture, provides UV protection and is crease resistant
Design Details
Shaped yoke seams
3-button placket for a customizable fit
Self collar for a classic course-look
Short sleeves
Inseam: 10.2”
Brand : PING
Fabric : 100% Polyester
Web ID: 19PNGMHRRSNSLDPLSAPT",Ping Harrison Polo.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19PNGMHRRSNSLDPLSAPT_Deep_Water?wid=1400&fmt=jpg
clothing,Ping Linear Jacquard Polo,"Ping Mens Linear Jacquard Golf Polo Shirt

Authorised Retailer
Free UK Delivery*
Full Manufacture Warranty
The Linear Jacquard polo is a stylish polo with a slightly different design. This polo features a concealed button down collar with a contrast under placket for a stylish finish. The linear jacquard polo will creat moisture movement and is very quick dry throughout the summer season.

Ping Sensor Platform - The Sensor platform from PING is an innovative performance fabric technology system designed to ensure that every garment worn is specifically engineered to respond to the body's requirements and demands of the game, maximising playability whatever the conditions.

The Ping Linear Jacquard Polo features Sensorcool Technology which features Moisture Movement, Crease Resistance and UV Protection.

When Worn next to the skin, moisture moving technology draws perspiration away from the body keeping you dry for complete comfort in play. Crease Resistant for a tailored look with low maintenance and Stretch fabrics that are cut and engineered to move with your game.

Features:

Available in two colours
Ping eye logo on front right shoulder
100% Polyester
Crease resistant
Jacquard design
Manufacture Information:

Asphalt - P03401-A3DR
Silver - P03401-S0CC",Ping Linear Jacquard Polo.jpg,https://www.thegolfshoponline.co.uk/assets/images/productimages/original/Screen%20Shot%202020-01-28%20at%2015.27.12.jpg
clothing,Ping Players Pants,"Look the part in the PING® Men’s Players Golf Pants. Built for superior comfort and course-ready style, the pants bring together moisture-wicking technology, crease-resistant fabric, and stretch properties to ensure you feel like a pro all tournament long.

Technology
Moisture-wicking technology transfers sweat away from skin
Quick-drying fabric to keep you cool
Built-in UV protection to guard against sunburn
Design Details
5-Pocket construction for storing and protecting small items
Inner waistband gripper to prevent shirts from coming untucked
Crease-resistant fabric to maintain a clean and course-ready appearance
Stretch properties for easy movement in every direction
Style: P03355
Brand : PING
Country of Origin : Imported
Fabric : 90% Polyester, 10% Elastane
Web ID: 19PNGMPLYRSPNTSP1APB",Ping Players Pants.jpg,https://dks.scene7.com/is/image/GolfGalaxy/19PNGMPLYRSPNTSP1APB_Asphalt?wid=1400&fmt=jpg
clothing,Ping Ramsey Pullover,The new Ping Ramsey Half Zip Fleece Golf Top is a smart ribbed fleece featuring thermal yet breathable Sensorwarm™ technology.,Ping Ramsey Pullover.jpg,http://www.snaintongolf.co.uk/shopimages/products/normal/Ping-Ramsey-Half-Zip-Fleece-Golf-Top-P03356-IM76.jpg
clothing,Ping Seth Polo,"Its multi-tonal pattern gives the Seth a singular appeal. Plus, with 93% poly and 7% elastane, it has stretch properties that enhance its function and comfort. With a concealed button-down collar.",Ping Seth Polo.jpg,https://pingmediastage.azureedge.net/mediastorage/mediastorage/ping-na/medialibrary/ecommerce/2020/ss20%20apparel/ss20_seth_bluemulti_model_708x708.jpg
clothing,Ping Vertical 1/2 Zip,"Contrast sleeves and a Jacquard pattern make the Vertical 1/2 Zip pop, and it's engineered with technology that makes it move moisture, stretch easily, and resist creasing. A soon-to-be VIP in your wardrobe.",Ping Vertical 12 Zip.jpg,https://pingmediastage.azureedge.net/mediastorage/mediastorage/ping-na/medialibrary/ecommerce/2020/ss20%20apparel/ss20_vertical_asphalt_model_708x708.jpg
clothing,Prodigy Highwood Hoodie,"Our The Prodigy Hoodie is created using heat applied vinyl printing technology. The design is applied directly to the fabric of the shirt, which gives a superior quality print that that will withstand repeated washing but is soft and smooth to the touch and doesn't crack like many screen printed shirts do. Your hoodie will be manufactured skillfully and with care by Disabled Veterans in the USA and shipped rapidly to you.
",Prodigy Highwood Hoodie.jpg,https://images-na.ssl-images-amazon.com/images/I/71b-sT4ugUL._AC_UX569_.jpg
clothing,Prodigy Highwood Mens Tshirt,100% Cotton Brand New Manufactured Apparel Machine Washable,Prodigy Highwood Mens Tshirt.jpg,https://images-na.ssl-images-amazon.com/images/I/51Fq32khChL._AC_UX679_.jpg
clothing,Prodigy Highwood Womens Tshirt,"Our professionally printed t-shirt is a great way to make a statement while feeling nice and comfortable at the same time. This wonderful soft ringspun cotton tee features the pictured phrase printed bright and bold on the center chest of the t-shirt. If you have any questions about the t-shirt, please don't hesitate to ask.",Prodigy Highwood Womens Tshirt.jpg,https://images-na.ssl-images-amazon.com/images/I/51v5dcykDML._AC_UX679_.jpg
clothing,Ralph Lauren Plaid Sports Shirt,Polo Ralph Lauren's medium-spread collar and genuine mother-of-pearl buttons add a sophisticated twist to this lightweight linen shirt.,Ralph Lauren Plaid Sports Shirt.jpg,https://images-na.ssl-images-amazon.com/images/I/710LsZZaYRL._AC_UY741_.jpg
